pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
Kepler-157 d,Kepler-157,2052941389074846336,2052941389074846336,122716806,,291.0972257,38.8756049,14.206,4.82143204348496,12.939,3.55443204348496,12.573,3.18843204348496,13.5838,14.002,14.0374,4.65283204348496,1.29905681609321,-37.2238693237305,2.95259404182434,Gaia,5866.0,4.42,-0.01,1.02,1.03,,0.09117,4.07,2.31,-2.11,,753.205688476563,745.95263671875,760.664489746094,1.00613224506378,LO,0.0,7.02573474,1.46,2.1114,Kepler,2016,Kepler
Kepler-157 b,Kepler-157,2052941389074846336,2052941389074846336,122716806,,291.0972257,38.8756049,14.206,4.82143204348496,12.939,3.55443204348496,12.573,3.18843204348496,13.5838,14.002,14.0374,4.65283204348496,1.29905681609321,-37.2238693237305,2.95259404182434,Gaia,5774.0,4.389,-0.0593,0.95,1.044,,0.09117,4.07,2.31,-2.11,,753.205688476563,745.95263671875,760.664489746094,1.00613224506378,LO,0.0,1.732342,1.32,2.186,Kepler,2014,Kepler
Kepler-157 c,Kepler-157,2052941389074846336,2052941389074846336,122716806,,291.0972257,38.8756049,14.206,4.82143204348496,12.939,3.55443204348496,12.573,3.18843204348496,13.5838,14.002,14.0374,4.65283204348496,1.29905681609321,-37.2238693237305,2.95259404182434,Gaia,5774.0,4.389,-0.0593,0.95,1.044,,0.09117,4.07,2.31,-2.11,,753.205688476563,745.95263671875,760.664489746094,1.00613224506378,LO,0.0,13.5405,2.24,4.514,Kepler,2014,Kepler
Kepler-122 d,Kepler-122,2053070616052194304,2053070616052194304,122714267,,291.1118647,39.9490248,14.403,4.33754524558792,13.173,3.10754524558792,12.826,2.76054524558792,13.7867,14.247,14.2223,4.15684524558792,0.944642725656716,19.5487232208252,6.23381757736206,Gaia,6050.0,4.299,-0.08,0.982,1.216,,0.26993,,,,,1030.60192871094,1018.52612304688,1044.53369140625,0.990532577037811,LO,0.0,21.587475,2.2,4.683,Kepler,2014,Kepler
Kepler-122 f,Kepler-122,2053070616052194304,2053070616052194304,122714267,,291.1118647,39.9490248,14.403,4.33754524558792,13.173,3.10754524558792,12.826,2.76054524558792,13.7867,14.247,14.2223,4.15684524558792,0.944642725656716,19.5487232208252,6.23381757736206,Gaia,5917.0,4.35,-0.08,1.03,0.949,,0.26993,,,,,1030.60192871094,1018.52612304688,1044.53369140625,0.990532577037811,LO,0.0,56.268,1.75,8.114,Kepler,2014,Kepler
Kepler-122 b,Kepler-122,2053070616052194304,2053070616052194304,122714267,,291.1118647,39.9490248,14.403,4.33754524558792,13.173,3.10754524558792,12.826,2.76054524558792,13.7867,14.247,14.2223,4.15684524558792,0.944642725656716,19.5487232208252,6.23381757736206,Gaia,6050.0,4.299,-0.08,0.982,1.216,,0.26993,,,,,1030.60192871094,1018.52612304688,1044.53369140625,0.990532577037811,LO,0.0,5.766193,2.34,3.846,Kepler,2014,Kepler
Kepler-122 c,Kepler-122,2053070616052194304,2053070616052194304,122714267,,291.1118647,39.9490248,14.403,4.33754524558792,13.173,3.10754524558792,12.826,2.76054524558792,13.7867,14.247,14.2223,4.15684524558792,0.944642725656716,19.5487232208252,6.23381757736206,Gaia,6050.0,4.299,-0.08,0.982,1.216,,0.26993,,,,,1030.60192871094,1018.52612304688,1044.53369140625,0.990532577037811,LO,0.0,12.465988,5.87,5.063,Kepler,2014,Kepler
Kepler-122 e,Kepler-122,2053070616052194304,2053070616052194304,122714267,,291.1118647,39.9490248,14.403,4.33754524558792,13.173,3.10754524558792,12.826,2.76054524558792,13.7867,14.247,14.2223,4.15684524558792,0.944642725656716,19.5487232208252,6.23381757736206,Gaia,6050.0,4.299,-0.08,0.982,1.216,,0.26993,,,,,1030.60192871094,1018.52612304688,1044.53369140625,0.990532577037811,LO,0.0,37.993273,2.6,7.155,Kepler,2014,Kepler
Kepler-75 b,Kepler-75,2050231848829944320,2050231848829944320,122785299,,291.1376203,36.5773443,15.414,5.91531683670179,13.665,4.16631683670179,13.118,3.61931683670179,14.575,15.264,15.1789,5.68021683670179,1.23133813955323,-62.75285,0.024457118,APOGEE,5200.0,4.5,0.3,0.91,0.89,K0 V,-0.21487,6.2,3.5,-2.8,19.18,793.8466796875,780.747192382813,806.5048828125,1.0211398601532,LO,0.0,8.8849116,11.77,2.0778,Kepler,2013,Kepler
Kepler-1733 b,Kepler-1733,2052549584977429504,2052549584977429504,122781795,,291.1384628,37.8592447,15.612,4.09494584215135,14.346,2.82894584215135,13.981,2.46394584215135,14.9313,15.399,15.357,3.83994584215135,0.475832686780485,,,,6320.0,4.347,0.24,1.273,1.252,,0.42985,,,,,2010.99426269531,1923.85302734375,2094.74389648438,1.00550282001495,LO,0.0,9.229579926,3.63582354,2.235,Kepler,2021,Kepler
Kepler-1106 b,Kepler-1106,2126198756455621376,2126198756455621376,159649503,,291.1451576,44.0624715,14.863,4.66840288400747,13.6,3.40540288400747,13.234,3.03940288400747,14.198,14.69,14.6276,4.43300288400747,0.892415635008122,-5.63596153259277,6.29977512359619,Gaia,6104.0,4.35,0.0,1.11,1.17,,0.15896,3.09,1.73,-1.36,,1093.75341796875,1077.74853515625,1116.78491210938,0.993341386318207,LO,0.0,1.252752174,1.65,2.0755,Kepler,2016,Kepler
KOI-142 b,KOI-142,2101507367429089664,2101507367429089664,122712595,,291.1481028,40.669413,13.209,5.34632060209731,11.882,4.01932060209731,11.454,3.59132060209731,12.5923,13.113,13.1048,5.24212060209731,2.64945298047753,-19.5133514404297,1.63471758365631,Gaia,5466.0,4.528,0.27,0.99,0.897,G6 V,-0.16507,,,,,373.710998535156,372.265411376953,375.447113037109,1.02892172336578,LO,0.03696633502841,10.91647,3.438,3.6496,Kepler,2013,Kepler
Kepler-694 b,Kepler-694,2101495685117920128,2101495685117920128,122713147,,291.1495269,40.4204569,15.284,5.35097920079477,13.882,3.94897920079477,13.493,3.55997920079477,14.5866,15.09,15.0857,5.15267920079477,1.0103520483304,,,,5700.0,4.47,0.0,0.97,0.95,,-0.07753,4.07,3.85,-2.37,,969.625793457031,950.427490234375,989.080871582031,1.00525224208832,LO,0.0,6.365841612,2.8,2.9697,Kepler,2016,Kepler
Kepler-901 b,Kepler-901,2101525749889208576,2101525749889208576,122712179,,291.1528056,40.8876814,15.85,8.82122168081804,12.753,5.72422168081804,11.907,4.87822168081804,13.8791,14.699,14.6803,7.65152168081804,3.89529890690892,9.92284488677979,5.20138692855835,Gaia,4184.0,4.7,-0.3,0.59,0.57,,-0.98404,3.8,5.19,-2.12,,254.539779663086,253.533721923828,255.734146118164,1.01635527610779,LO,0.0,3.517494394,1.37,1.4847,Kepler,2016,Kepler
Kepler-240 b,Kepler-240,2101521042605000832,2101521042605000832,122712446,,291.1587635,40.7502108,15.953,6.51768014971969,14.113,4.67768014971969,13.464,4.02868014971969,15.0097,15.66,15.6622,6.22688014971969,1.27231629090907,,,,4985.0,4.626,0.41,0.868,0.739,,-0.52355,,,,,771.017028808594,755.705383300781,785.068359375,1.01597321033478,LO,0.0,4.144495,1.37,2.368,Kepler,2014,Kepler
Kepler-240 c,Kepler-240,2101521042605000832,2101521042605000832,122712446,,291.1587635,40.7502108,15.953,6.51768014971969,14.113,4.67768014971969,13.464,4.02868014971969,15.0097,15.66,15.6622,6.22688014971969,1.27231629090907,-80.32479,0.030787382,APOGEE,4985.0,4.626,0.41,0.868,0.739,,-0.52355,,,,,771.017028808594,755.705383300781,785.068359375,1.01597321033478,LO,0.0,7.953528,2.2,2.598,Kepler,2014,Kepler
Kepler-620 b,Kepler-620,2136210874976312192,2136210874976312192,350737935,,291.1593939,51.3348228,14.844,4.27272191226632,13.591,3.01972191226632,13.284,2.71272191226632,14.21,14.647,14.6381,4.06682191226632,0.746087757684188,-6.49772119522095,11.3265676498413,Gaia,6155.0,4.33,0.03,1.15,1.22,,0.34079,3.02,1.16,-1.27,,1300.93505859375,1273.56457519531,1328.73388671875,1.11837875843048,LO,0.0622382909059525,12.91375431,3.32,6.042,Kepler,2016,Kepler
WASP-48 b,WASP-48,2141754578242371584,2141754578242371584,284475976,,291.1623865,55.4730273,11.647,3.36942088544228,10.627,2.34942088544228,10.372,2.09442088544228,11.1541,,11.523,3.24542088544228,2.16387378200747,-19.4693813323975,0.649299919605255,Gaia,5920.0,4.03,-0.12,0.88,1.58,,0.58013,,,,,452.392944335938,450.727447509766,453.989807128906,0.792241513729096,LO,0.0885695293545723,2.14363,16.8135,3.1539349,SuperWASP,2011,WASP
Kepler-1901 b,Kepler-1901,2126648422351703168,2126648422351703168,159647219,,291.1643587,45.3183061,15.097,5.10275956824345,13.756,3.76175956824345,13.31,3.31575956824345,14.4171,14.953,14.9006,4.90635956824345,0.975097229387871,-24.761978,0.053952992,APOGEE,5696.0,4.519,0.14,1.022,0.921,,-0.00315,,,,,997.351135253906,976.073608398438,1015.34942626953,1.01000273227692,LO,0.0,3.484129906,1.47418907,1.356,Kepler,2021,Kepler
Kepler-209 c,Kepler-209,2101964558106974848,2101964558106974848,159652365,,291.1694567,42.6407281,14.132,5.33003162869413,12.797,3.99503162869413,12.362,3.56003162869413,13.4567,13.998,13.9517,5.14973162869413,1.7094037580758,-12.2525091171265,3.42458891868591,Gaia,5513.0,4.472,0.11,0.971,0.935,,-0.12879,,,,,575.961791992188,572.102905273438,581.01025390625,1.00473523139954,LO,0.0,41.749882,3.1,5.63,Kepler,2014,Kepler
Kepler-209 b,Kepler-209,2101964558106974848,2101964558106974848,159652365,,291.1694567,42.6407281,14.132,5.33003162869413,12.797,3.99503162869413,12.362,3.56003162869413,13.4567,13.998,13.9517,5.14973162869413,1.7094037580758,-12.2525091171265,3.42458891868591,Gaia,5513.0,4.472,0.11,0.971,0.935,,-0.12879,,,,,575.961791992188,572.102905273438,581.01025390625,1.00473523139954,LO,0.0,16.087845,2.26,2.878,Kepler,2014,Kepler
Kepler-1435 b,Kepler-1435,2126632994828732032,2126632994828732032,159647919,,291.1732806,44.9210836,12.984,3.79933206989038,11.995,2.81033206989038,11.729,2.54433206989038,12.5194,12.938,12.8692,3.68453206989038,1.43962152822528,-12.4925498962402,2.4453980922699,Gaia,6356.0,4.28,-0.03,1.21,1.32,,0.4683,2.63,0.64,-0.88,,686.96337890625,680.630004882813,692.487976074219,0.972568094730377,LO,0.069651335477829,4.45343281,0.86,3.796,Kepler,2016,Kepler
Kepler-191 c,Kepler-191,2126648731589350272,2126648731589350272,159647213,,291.1833211,45.3230937,14.987,6.13038679104435,13.42,4.56338679104435,12.883,4.02638679104435,14.2068,14.808,14.7758,5.91918679104435,1.66952385065249,7.86120843887329,4.15181970596314,Gaia,5282.0,4.594,0.13,0.857,0.789,,-0.4145,4.9,6.3,-3.07,,590.639709472656,584.519714355469,595.82666015625,0.960415482521057,LO,0.0,17.738506,1.86,2.821,Kepler,2014,Kepler
Kepler-191 d,Kepler-191,2126648731589350272,2126648731589350272,159647213,,291.1833211,45.3230937,14.987,6.13038679104435,13.42,4.56338679104435,12.883,4.02638679104435,14.2068,14.808,14.7758,5.91918679104435,1.66952385065249,7.86120843887329,4.15181970596314,Gaia,5215.0,4.56,-0.05,0.84,0.8,,-0.4145,4.9,6.3,-3.07,,590.639709472656,584.519714355469,595.82666015625,0.960415482521057,LO,0.0,5.945041017,2.28,2.5711,Kepler,2016,Kepler
Kepler-191 b,Kepler-191,2126648731589350272,2126648731589350272,159647213,,291.1833211,45.3230937,14.987,6.13038679104435,13.42,4.56338679104435,12.883,4.02638679104435,14.2068,14.808,14.7758,5.91918679104435,1.66952385065249,7.86120843887329,4.15181970596314,Gaia,5282.0,4.594,0.13,0.857,0.789,,-0.4145,4.9,6.3,-3.07,,590.639709472656,584.519714355469,595.82666015625,0.960415482521057,LO,0.0,9.939632,1.34,2.917,Kepler,2014,Kepler
Kepler-1324 b,Kepler-1324,2053454478745972480,2053454478745972480,137090755,,291.1849503,40.3112023,15.554,7.15432163296661,13.472,5.07232163296661,12.834,4.43432163296661,14.4408,15.141,15.1336,6.73392163296661,2.0613586327802,,,,4776.0,4.61,0.05,0.78,0.73,,-0.67302,2.88,6.07,-1.37,,478.559204101563,473.149475097656,483.911071777344,0.950520694255829,LO,0.0,4.115844679,1.51,1.385,Kepler,2016,Kepler
Kepler-634 b,Kepler-634,2101507470508342016,2101507470508342016,137089993,,291.19509,40.7027352,13.626,3.85857761116575,12.511,2.74357761116575,12.16,2.39257761116575,13.0982,13.55,13.4921,3.72467761116575,1.08593880377177,-57.3599967956543,2.97227740287781,Gaia,6075.0,4.26,-0.18,1.03,1.24,,0.42075,5.37,1.6,-1.58,,898.430480957031,888.339721679688,907.956970214844,1.04938304424286,LO,0.0112971747294068,5.16950177,1.89,4.507,Kepler,2016,Kepler
Kepler-657 b,Kepler-657,2129158435598210816,2129158435598210816,159643991,,291.1973006,47.3077545,15.404,4.37672358068779,14.135,3.10772358068779,13.761,2.73372358068779,14.8331,15.344,15.319,4.29172358068779,0.59705858723886,,,,5808.0,4.44,0.03,1.01,1.01,,0.27898,4.17,2.94,-2.43,,1604.92700195313,1561.53112792969,1663.75061035156,0.996549546718597,LO,0.0,24.54350418,3.52,7.3096,Kepler,2016,Kepler
Kepler-1926 b,Kepler-1926,2126202432947724160,2126202432947724160,159649308,,291.1987905,44.1662033,15.8,6.3130669289993,14.173,4.6860669289993,13.626,4.1390669289993,15.0641,15.654,15.6668,6.1798669289993,1.23323805980457,-25.933695,0.09841732,APOGEE,5256.0,4.483,-0.16,0.768,0.832,,-0.64728,,,,,789.562683105469,757.529235839844,833.057250976563,2.00631284713745,HI,0.492828339338303,42.87770081,2.31495961,1.991,Kepler,2021,Kepler
Kepler-1704 b,Kepler-1704,2136191736602006016,2136191736602006016,350738167,,291.2012559,51.1442437,13.392,3.80701745133958,12.138,2.55301745133958,11.792,2.20701745133958,12.7934,13.293,13.2514,3.66641745133958,1.1868298841501,-21.4770278930664,1.72219514846802,Gaia,5746.0,4.031,0.196,1.132,1.697,,0.45179,7.4,1.5,-1.0,,826.031311035156,819.382263183594,834.095520019531,1.01756727695465,LO,0.0,988.88112,11.94877343,6.007,Kepler,2013,Kepler
Kepler-1940 b,Kepler-1940,2126645673572302080,2126645673572302080,159647359,,291.2042027,45.2383344,15.674,6.14794016650192,13.975,4.44894016650192,13.478,3.95194016650192,14.7452,15.309,15.2846,5.75854016650192,1.22383763036489,,,,5431.0,4.623,-0.44,0.802,0.717,,-0.37735,,,,,803.918395996094,789.515563964844,816.604553222656,0.919484317302704,LO,0.0,4.950610161,1.54732469,1.808,Kepler,2021,Kepler
Kepler-572 b,Kepler-572,2130168405747219072,2130168405747219072,350738817,,291.221172,50.5813487,14.679,6.1670721675381,13.114,4.6020721675381,12.558,4.0460721675381,13.92,14.472,14.4853,5.9733721675381,1.9613532968455,-39.5475540161133,5.20414447784424,Gaia,5212.0,4.57,-0.1,0.83,0.79,,-0.43426,4.68,5.96,-2.95,,503.947814941406,499.851440429688,507.656616210938,1.01918339729309,LO,0.0536575242877007,17.20523483,2.58,3.6211,Kepler,2016,Kepler
Kepler-1788 b,Kepler-1788,2127435363438637952,2127435363438637952,159646433,,291.2243829,45.7780993,15.484,6.78012117588493,13.657,4.95312117588493,12.985,4.28112117588493,14.5899,15.229,15.254,6.55012117588493,1.78509851125813,,,,4786.0,4.579,-0.2,0.686,0.704,,-0.61055,,,,,550.523376464844,543.07080078125,558.088745117188,1.04033958911896,LO,0.0554987154901028,2.800120115,2.37850461,0.9654,Kepler,2021,Kepler
KOI-1257 b,KOI-1257,2126633166627436928,2126633166627436928,159647910,,291.2250888,44.9272918,14.818,2.76053157067879,13.222,1.16453157067879,12.726,0.668531570678788,14.0772,14.651,14.6419,2.58443157067879,0.438738221249845,16.725154876709,15.7832441329956,Gaia,5520.0,4.32,0.27,0.99,1.13,G5 V,0.0292,9.3,3.0,-3.0,,2579.25146484375,1744.93481445313,4075.82568359375,13.1213130950928,HI,2.58980226516724,86.647661,10.54,4.2624,Kepler,2014,Kepler
Kepler-357 b,Kepler-357,2126194667646233984,2126194667646233984,159649595,,291.2429746,44.0086337,15.735,6.52072990129368,13.991,4.77672990129368,13.408,4.19372990129368,14.8979,15.565,15.5215,6.30722990129368,1.4084864253556,,,,5036.0,4.503,0.06,0.794,0.834,,-0.55635,,,,,696.392395019531,683.44873046875,713.497802734375,1.00013422966003,LO,0.0,6.475434,1.84,2.651,Kepler,2014,Kepler
Kepler-357 d,Kepler-357,2126194667646233984,2126194667646233984,159649595,,291.2429746,44.0086337,15.735,6.52072990129368,13.991,4.77672990129368,13.408,4.19372990129368,14.8979,15.565,15.5215,6.30722990129368,1.4084864253556,,,,5036.0,4.503,0.06,0.794,0.834,,-0.55635,,,,,696.392395019531,683.44873046875,713.497802734375,1.00013422966003,LO,0.0,49.499875,3.43,6.594,Kepler,2014,Kepler
Kepler-357 c,Kepler-357,2126194667646233984,2126194667646233984,159649595,,291.2429746,44.0086337,15.735,6.52072990129368,13.991,4.77672990129368,13.408,4.19372990129368,14.8979,15.565,15.5215,6.30722990129368,1.4084864253556,,,,5036.0,4.503,0.06,0.794,0.834,,-0.55635,,,,,696.392395019531,683.44873046875,713.497802734375,1.00013422966003,LO,0.0,16.85837,2.67,2.016,Kepler,2014,Kepler
Kepler-1354 b,Kepler-1354,2052568585913107072,2052568585913107072,137096633,,291.2451266,37.7590079,14.59,4.38104414474959,13.252,3.04304414474959,12.858,2.64904414474959,13.9236,14.357,14.3687,4.15974414474959,0.883706688576617,12.4649953842163,5.01671171188355,Gaia,6168.0,4.31,0.03,1.16,1.24,,0.30208,2.95,1.29,-1.2,,1101.009765625,1085.001953125,1118.80187988281,0.995995759963989,LO,0.0,76.613377,2.97,9.762,Kepler,2016,Kepler
Kepler-36 c,Kepler-36,2129931456691176576,2129931456691176576,350810590,,291.2501859,49.2318073,11.941,3.31144283503745,11.124,2.49444283503745,10.788,2.15844283503745,11.6826,11.866,12.0767,3.44714283503745,1.8528393037318,8.41372299194336,0.946480810642242,Gaia,5979.0,4.1,-0.18,1.034,1.634,,0.51005,,,,,531.999755859375,529.680297851563,534.21533203125,0.865949630737305,LO,0.0470891781151295,16.21865,3.679,7.46,Kepler,2012,Kepler
Kepler-36 b,Kepler-36,2129931456691176576,2129931456691176576,350810590,,291.2501859,49.2318073,11.941,3.31144283503745,11.124,2.49444283503745,10.788,2.15844283503745,11.6826,11.866,12.0767,3.44714283503745,1.8528393037318,8.41372299194336,0.946480810642242,Gaia,5979.0,4.1,-0.18,1.034,1.634,,0.51005,,,,,531.999755859375,529.680297851563,534.21533203125,0.865949630737305,LO,0.0470891781151295,13.86825,1.498,7.2783,Kepler,2012,Kepler
Kepler-1612 b,Kepler-1612,2127432099262972416,2127432099262972416,159646633,,291.2503022,45.6550536,14.936,5.49620167559881,13.498,4.05820167559881,13.075,3.63520167559881,14.2068,14.75,14.7157,5.27590167559881,1.26707708750724,-25.2271251678467,7.37295055389404,Gaia,5643.0,4.48,0.03,0.96,0.94,,-0.18821,4.57,4.12,-2.85,,772.608825683594,762.05810546875,783.267822265625,1.02723276615143,LO,0.0,3.91795101,1.03,2.586,Kepler,2016,Kepler
Kepler-1731 b,Kepler-1731,2050239300586448000,2050239300586448000,137099260,,291.2544229,36.7434302,12.742,6.58939036463901,10.982,4.82939036463901,10.41,4.25739036463901,11.8806,12.559,12.4974,6.34479036463901,5.86932934514682,-26.2523307800293,0.784916341304779,Gaia,4859.0,4.612,0.0,0.781,0.72,,-0.59961,,,,,170.028579711914,169.794158935547,170.327545166016,0.91318541765213,LO,0.023704195395112,21.76129913,2.93295657,1.2657,Kepler,2021,Kepler
Kepler-1442 b,Kepler-1442,2129357580341124608,2129357580341124608,350811132,,291.2556226,48.8469171,12.114,3.20462230626051,11.215,2.30562230626051,10.967,2.05762230626051,11.6841,12.146,12.0303,3.12092230626051,1.62355564368976,12.2448043823242,1.79992353916168,Gaia,6394.0,4.25,0.26,1.34,1.44,,0.65109,1.7,0.556,-0.459,,605.167419433594,601.471374511719,609.387573242188,0.863114893436432,LO,0.0563659258186817,81.4162941,3.93,12.1444,Kepler,2016,Kepler
Kepler-372 b,Kepler-372,2129931942027348608,2129931942027348608,350810559,,291.2562253,49.2589288,14.928,4.12717173386908,13.878,3.07717173386908,13.559,2.75817173386908,14.4297,14.881,14.8342,4.03337173386908,0.669118892999751,,,,6509.0,4.405,-0.13,1.202,1.137,,0.32073,,,,,1445.9912109375,1405.9814453125,1479.79125976563,1.00319039821625,LO,0.0,6.849692,1.36,4.12,Kepler,2014,Kepler
Kepler-372 c,Kepler-372,2129931942027348608,2129931942027348608,350810559,,291.2562253,49.2589288,14.928,4.12717173386908,13.878,3.07717173386908,13.559,2.75817173386908,14.4297,14.881,14.8342,4.03337173386908,0.669118892999751,,,,6509.0,4.405,-0.13,1.202,1.137,,0.32073,,,,,1445.9912109375,1405.9814453125,1479.79125976563,1.00319039821625,LO,0.0,20.053763,2.09,6.031,Kepler,2014,Kepler
Kepler-372 d,Kepler-372,2129931942027348608,2129931942027348608,350810559,,291.2562253,49.2589288,14.928,4.12717173386908,13.878,3.07717173386908,13.559,2.75817173386908,14.4297,14.881,14.8342,4.03337173386908,0.669118892999751,,,,6509.0,4.405,-0.13,1.202,1.137,,0.32073,,,,,1445.9912109375,1405.9814453125,1479.79125976563,1.00319039821625,LO,0.0,30.092568,1.69,7.499,Kepler,2014,Kepler
Kepler-1294 b,Kepler-1294,2126234215705936640,2126234215705936640,159721015,,291.2681037,44.4881624,15.361,4.20366604819008,14.021,2.86366604819008,13.597,2.43966604819008,14.6723,15.174,15.1501,3.99276604819008,0.561414372426872,,,,5776.0,4.46,-0.03,0.99,0.97,,0.42138,3.98,3.15,-2.31,,1703.98901367188,1645.71765136719,1767.87609863281,1.02401661872864,LO,0.0,115.6862258,3.19,4.625,Kepler,2016,Kepler
Kepler-945 b,Kepler-945,2101737474597174016,2101737474597174016,159715997,,291.2697354,42.0960305,15.599,4.61227679003628,14.742,3.75527679003628,14.293,3.30627679003628,15.3801,15.898,15.8596,4.87287679003628,0.605415658928007,,,,5718.0,4.46,-0.01,0.97,0.97,,0.02447,4.47,4.08,-2.7,,1575.232421875,1504.25122070313,1640.64709472656,0.938665509223938,LO,0.0,31.0033814,2.63,5.204,Kepler,2016,Kepler
Kepler-762 b,Kepler-762,2129158710476149376,2129158710476149376,159725995,,291.2756631,47.3295107,15.574,4.27281639572433,14.275,2.97381639572433,13.969,2.66781639572433,14.9767,15.439,15.4266,4.12541639572433,0.526359334748034,,,,5944.0,4.4,0.02,1.06,1.08,,0.31816,3.8,2.18,-2.04,,1820.69299316406,1745.51147460938,1909.15686035156,0.982775270938873,LO,0.0,3.770552098,12.68,3.8277,Kepler,2016,Kepler
Kepler-1284 b,Kepler-1284,2129192692257862912,2129192692257862912,159726546,,291.2789549,47.6875766,15.912,6.23689527138464,14.162,4.48689527138464,13.572,3.89689527138464,15.0484,15.645,15.6622,5.98709527138464,1.13493804009048,12.609602,0.1709233,APOGEE,5123.0,4.57,0.03,0.84,0.79,,-0.39518,4.47,6.03,-2.68,,861.035278320313,843.430480957031,875.437561035156,0.988900661468506,LO,0.0,0.664073806,1.21,1.1019,Kepler,2016,Kepler
Kepler-1184 b,Kepler-1184,2129099474286578048,2129099474286578048,159725400,,291.282031,46.9659514,14.99,4.64280319493784,13.866,3.51880319493784,13.49,3.14280319493784,14.498,14.953,14.9314,4.58420319493784,0.827887443797691,,,,5983.0,4.41,-0.04,1.05,1.07,,0.06532,3.55,1.99,-1.79,,1173.3818359375,1141.66247558594,1208.62805175781,1.03638517856598,LO,0.0,53.5991044,2.68,6.662,Kepler,2016,Kepler
Kepler-273 c,Kepler-273,2129193070214982016,2129193070214982016,159726559,,291.3021458,47.6976573,15.1,5.86756353097271,13.682,4.44956353097271,13.217,3.98456353097271,14.4498,14.968,14.9683,5.73586353097271,1.40029342424506,,,,5626.0,4.514,-0.28,0.756,0.815,,-0.34099,,,,,702.242797851563,693.421813964844,710.884033203125,0.969965815544128,LO,0.0,8.014927,1.98,3.379,Kepler,2014,Kepler
Kepler-273 b,Kepler-273,2129193070214982016,2129193070214982016,159726559,,291.3021458,47.6976573,15.1,5.86756353097271,13.682,4.44956353097271,13.217,3.98456353097271,14.4498,14.968,14.9683,5.73586353097271,1.40029342424506,-20.571186,0.046495374,APOGEE,5626.0,4.514,-0.28,0.756,0.815,,-0.34099,,,,,702.242797851563,693.421813964844,710.884033203125,0.969965815544128,LO,0.0,2.936532,1.5,1.704,Kepler,2014,Kepler
Kepler-1374 b,Kepler-1374,2126643543268551936,2126643543268551936,159722311,,291.3499783,45.1722521,15.991,5.78957472582346,14.649,4.44757472582346,14.129,3.92757472582346,15.3944,15.97,15.93,5.72857472582346,0.893321421126964,,,,5323.0,4.56,-0.13,0.85,0.81,,-0.36814,4.47,6.3,-2.84,,1097.19812011719,1062.60205078125,1129.17541503906,0.91597306728363,LO,0.0,10.65276707,2.29,2.711,Kepler,2016,Kepler
Kepler-612 b,Kepler-612,2126684019040772480,2126684019040772480,159723305,,291.3546278,45.7478551,15.191,4.47537246861504,13.663,2.94737246861504,13.264,2.54837246861504,14.3949,14.911,14.9103,4.19467246861504,0.687809426531506,8.46836,0.22676188,APOGEE,5693.0,4.46,0.04,0.98,0.96,,0.30512,4.47,4.22,-2.7,,1390.35437011719,1353.81079101563,1425.73107910156,0.990400671958923,LO,0.0173457711935043,3.722156413,2.84,1.9911,Kepler,2016,Kepler
Kepler-261 c,Kepler-261,2052528625536778624,2052528625536778624,137148674,,291.3647333,37.609239,13.738,6.24629219031985,12.127,4.63529219031985,11.585,4.09329219031985,12.9452,13.562,13.5287,6.03699219031985,3.14636864903296,-24.4006977081299,1.91174745559692,Gaia,5098.0,4.561,0.1621,0.834,0.794,,-0.471,,,,,315.022491455078,313.536712646484,316.134429931641,0.995378077030182,LO,0.0,24.570858,2.0,2.761,Kepler,2014,Kepler
Kepler-261 b,Kepler-261,2052528625536778624,2052528625536778624,137148674,,291.3647333,37.609239,13.738,6.24629219031985,12.127,4.63529219031985,11.585,4.09329219031985,12.9452,13.562,13.5287,6.03699219031985,3.14636864903296,-24.4006977081299,1.91174745559692,Gaia,5098.0,4.561,0.1621,0.834,0.794,,-0.471,,,,,315.022491455078,313.536712646484,316.134429931641,0.995378077030182,LO,0.0,10.381227,2.18,2.759,Kepler,2014,Kepler
Kepler-323 b,Kepler-323,2052582432887909376,2052582432887909376,137150039,,291.3822988,38.1274595,12.78,4.46253060930251,11.689,3.37153060930251,11.354,3.03653060930251,12.2594,12.722,12.658,4.34053060930251,2.15217129694272,14.4149322509766,1.38078618049622,Gaia,6004.0,4.38,-0.14,1.015,1.12,,0.15091,5.4,3.4,-2.8,,460.7802734375,458.970703125,462.924652099609,0.875608384609222,LO,0.030869459733367,1.678328,1.381,2.5123,Kepler,2014,Kepler
