pl_name,hostname,gaia_dr3_id,gaia_dr2_id,tic_id,hd_name,ra,dec,sy_vmag,abs_vmag,sy_jmag,abs_jmag,sy_kmag,abs_kmag,sy_tmag,sy_kepmag,sy_gaiamag,abs_gaiamag,st_parallax_mas,st_rv,st_e_rv,st_rv_source,st_teff,st_logg,st_met,st_mass,st_rad,st_spectype,st_lum,st_age,st_ageerr1,st_ageerr2,st_rotp,bj_dist_pc,bj_dist_pc_lo,bj_dist_pc_hi,ruwe,ruwe_quality,gaia_aen,pl_orbper,pl_rade,pl_trandur,disc_facility,disc_year,mission_source
TOI-2136 b,TOI-2136,2096535783864546944,2096535783864546944,336128819,,281.1763433,36.5631318,14.32,11.7057015360513,10.184,7.56970153605129,9.343,6.72870153605129,11.7371,,12.9643,10.3500015360513,29.9755623219046,-30.1565093994141,0.815365135669708,Gaia,3342.0,4.91,0.03,0.34,0.34,M4.5 V,-1.88606,4.6,1.0,-1.0,75.0,33.3318710327148,33.3142242431641,33.3495483398438,1.27749311923981,LO,0.1556146889925,7.851928,2.19,1.66,Transiting Exoplanet Survey Satellite (TESS),2022,TESS
Kepler-94 b,Kepler-94,2119602202081351168,2119602202081351168,123309556,,281.1947316,47.4972606,13.071,6.67630513752515,11.181,4.78630513752515,10.594,4.19930513752515,12.1773,12.895,12.8567,6.46200513752515,5.24763585425195,-51.7191696166992,0.683269202709198,Gaia,4781.0,4.59,0.34,0.81,0.76,M0 V,-0.61348,1.41,,,,190.081115722656,189.683959960938,190.520324707031,1.00627601146698,LO,0.0712272599339485,2.50806,3.51,1.0724,Kepler,2014,Kepler
Kepler-188 c,Kepler-188,2117317829237452160,2117317829237452160,123235018,,281.2797173,44.3154743,14.719,4.82596937859591,13.536,3.64296937859591,13.144,3.25096937859591,14.1665,14.674,14.6336,4.74056937859591,1.02408435359349,-8.02580070495606,5.93191528320313,Gaia,6021.0,4.346,0.15,1.021,1.141,,0.03447,,,,,951.932434082031,937.256530761719,971.088012695313,1.06946969032288,LO,0.0,5.996553,3.19,3.231,Kepler,2014,Kepler
Kepler-188 b,Kepler-188,2117317829237452160,2117317829237452160,123235018,,281.2797173,44.3154743,14.719,4.82596937859591,13.536,3.64296937859591,13.144,3.25096937859591,14.1665,14.674,14.6336,4.74056937859591,1.02408435359349,-8.02580070495606,5.93191528320313,Gaia,6021.0,4.346,0.15,1.021,1.141,,0.03447,,,,,951.932434082031,937.256530761719,971.088012695313,1.06946969032288,LO,0.0,2.061897,1.68,1.791,Kepler,2014,Kepler
Kepler-8 b,Kepler-8,2116730994965905280,2116730994965905280,123233041,,281.2881335,42.4510975,13.598,3.61885057304302,12.576,2.59685057304302,12.293,2.31385057304302,13.1448,13.563,13.5299,3.55075057304302,0.984224132904288,-55.0971794128418,2.92545366287231,Gaia,6213.0,4.174,-0.055,1.213,1.486,,0.605,,,,,990.443908691406,982.202331542969,1001.13195800781,0.956995785236359,LO,0.0,3.5224991,15.871944,3.19061,Kepler,2010,Kepler
Kepler-1489 b,Kepler-1489,2117323498594316544,2117323498594316544,123312978,,281.2957984,44.4654063,14.983,4.58678719109327,13.677,3.28078719109327,13.247,2.85078719109327,14.3412,14.828,14.8084,4.41218719109327,0.80871703622649,,,,5655.0,4.51,-0.13,0.93,0.9,G,0.19764,4.07,4.94,-2.43,,1200.16943359375,1174.63464355469,1228.94738769531,1.08381748199463,LO,0.0691750571131706,82.294751,1.77,7.009,Kepler,2016,Kepler
Kepler-1489 c,Kepler-1489,2117323498594316544,2117323498594316544,123312978,,281.2957984,44.4654063,14.983,4.58678719109327,13.677,3.28078719109327,13.247,2.85078719109327,14.3412,14.828,14.8084,4.41218719109327,0.80871703622649,,,,5565.53,4.51,0.14,0.977,0.957,G,0.19764,4.07,4.94,-2.43,,1200.16943359375,1174.63464355469,1228.94738769531,1.08381748199463,LO,0.0691750571131706,0.680741,0.51,1.7,Kepler,2024,Kepler
Kepler-1477 b,Kepler-1477,2116740104595955328,2116740104595955328,123314844,,281.2985305,42.6856727,14.72,5.52137739236745,13.176,3.97737739236745,12.594,3.39537739236745,13.9857,14.598,14.5763,5.37767739236745,1.42365259002298,19.2035160064697,3.9747531414032,Gaia,5100.0,4.58,-0.06,0.81,0.78,,-0.19624,4.68,5.77,-2.78,,691.392272949219,683.813415527344,700.516845703125,1.06277513504028,LO,0.0347616076469421,11.55530021,1.18,2.799,Kepler,2016,Kepler
Kepler-1102 b,Kepler-1102,2119646801021958272,2119646801021958272,47976987,,281.3225917,48.0664955,14.928,4.50025197327224,13.838,3.41025197327224,13.381,2.95325197327224,14.4697,14.955,14.9224,4.49465197327224,0.794373902462277,,,,5724.0,4.48,-0.08,0.96,0.94,,0.13927,4.37,3.88,-2.61,,1217.72607421875,1199.15490722656,1239.24536132813,1.04451429843903,LO,0.0,51.3285623,2.66,9.439,Kepler,2016,Kepler
Kepler-322 c,Kepler-322,2117317588719059968,2117317588719059968,123313142,,281.3487514,44.2952525,13.687,5.70647975109794,12.246,4.26547975109794,11.837,3.85647975109794,12.9875,13.53,13.5033,5.52277975109794,2.50881440484374,-22.8835391998291,2.19320440292358,Gaia,5388.0,4.501,0.12,0.908,0.89,,-0.28786,,,,,394.551818847656,393.045196533203,395.866027832031,0.975775241851807,LO,0.0,4.337234,1.67,2.454,Kepler,2014,Kepler
Kepler-322 b,Kepler-322,2117317588719059968,2117317588719059968,123313142,,281.3487514,44.2952525,13.687,5.70647975109794,12.246,4.26547975109794,11.837,3.85647975109794,12.9875,13.53,13.5033,5.52277975109794,2.50881440484374,-22.8835391998291,2.19320440292358,Gaia,5388.0,4.501,0.12,0.908,0.89,,-0.28786,,,,,394.551818847656,393.045196533203,395.866027832031,0.975775241851807,LO,0.0,1.653888,1.01,1.672,Kepler,2014,Kepler
Kepler-960 b,Kepler-960,2119194936102585472,2119194936102585472,123357476,,281.4572217,46.7465538,14.127,6.87114901431965,12.272,5.01614901431965,11.618,4.36214901431965,13.1799,13.884,13.8413,6.58544901431965,3.51059354311218,-21.8037223815918,2.17132472991943,Gaia,4755.0,4.61,0.02,0.77,0.72,,-0.6289,3.63,6.1,-1.99,,282.598724365234,281.691680908203,283.520721435547,1.02343511581421,LO,0.0,3.12686223,2.29,1.1975,Kepler,2016,Kepler
Kepler-102 f,Kepler-102,2119583201145735808,2119583201145735808,123357864,,281.4824731,47.2078263,12.072,6.91117629522389,9.984,4.82317629522389,9.351,4.19017629522389,10.8515,11.492,11.4784,6.31757629522389,9.25173486446336,-28.5143184661865,0.371378809213638,Gaia,4909.0,4.6,0.11,0.803,0.724,,-0.58436,1.1,3.6,-0.5,27.95,107.687362670898,107.589920043945,107.792671203613,0.811471343040466,LO,0.0778222009539604,27.453592,0.861,3.5353,Kepler,2014,Kepler
Kepler-102 b,Kepler-102,2119583201145735808,2119583201145735808,123357864,,281.4824731,47.2078263,12.072,6.91117629522389,9.984,4.82317629522389,9.351,4.19017629522389,10.8515,11.492,11.4784,6.31757629522389,9.25173486446336,-28.5143184661865,0.371378809213638,Gaia,4909.0,4.6,0.11,0.803,0.724,,-0.58436,1.1,3.6,-0.5,27.95,107.687362670898,107.589920043945,107.792671203613,0.811471343040466,LO,0.0778222009539604,5.286965,0.46,2.591,Kepler,2014,Kepler
Kepler-102 d,Kepler-102,2119583201145735808,2119583201145735808,123357864,,281.4824731,47.2078263,12.072,6.91117629522389,9.984,4.82317629522389,9.351,4.19017629522389,10.8515,11.492,11.4784,6.31757629522389,9.25173486446336,-28.5143184661865,0.371378809213638,Gaia,4909.0,4.6,0.11,0.803,0.724,,-0.58436,1.1,3.6,-0.5,27.95,107.687362670898,107.589920043945,107.792671203613,0.811471343040466,LO,0.0778222009539604,10.311767,1.154,3.205,Kepler,2014,Kepler
Kepler-102 e,Kepler-102,2119583201145735808,2119583201145735808,123357864,,281.4824731,47.2078263,12.072,6.91117629522389,9.984,4.82317629522389,9.351,4.19017629522389,10.8515,11.492,11.4784,6.31757629522389,9.25173486446336,-28.5143184661865,0.371378809213638,Gaia,4909.0,4.6,0.11,0.803,0.724,,-0.58436,1.1,3.6,-0.5,27.95,107.687362670898,107.589920043945,107.792671203613,0.811471343040466,LO,0.0778222009539604,16.1456994,2.17,3.7236,Kepler,2013,Kepler
Kepler-102 c,Kepler-102,2119583201145735808,2119583201145735808,123357864,,281.4824731,47.2078263,12.072,6.91117629522389,9.984,4.82317629522389,9.351,4.19017629522389,10.8515,11.492,11.4784,6.31757629522389,9.25173486446336,-28.5143184661865,0.371378809213638,Gaia,4909.0,4.6,0.11,0.803,0.724,,-0.58436,1.1,3.6,-0.5,27.95,107.687362670898,107.589920043945,107.792671203613,0.811471343040466,LO,0.0778222009539604,7.071392,0.567,2.7506,Kepler,2014,Kepler
Kepler-1088 b,Kepler-1088,2104727081069413376,2104727081069413376,123316231,,281.5614578,42.4504087,11.472,4.21958943976438,10.779,3.52658943976438,10.476,3.22358943976438,11.3685,11.863,11.778,4.52558943976438,3.49657858622546,-15.9277105331421,0.768369138240814,Gaia,5975.0,4.4,0.05,1.08,1.08,,0.09007,3.02,1.58,-1.39,,282.151336669922,281.435150146484,282.930328369141,0.815397560596466,LO,0.0559046790003777,23.12748644,1.42,4.923,Kepler,2016,Kepler
