hostname,tic_id,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2_total,chi2_reduced,n_obs_bands,distance_pc,model_G,model_BP,model_RP,model_J,model_H,model_K,model_W1
TOI-4515,456862677,0.9324938702174698,1199820410.471726,0.35294149288341625,0.0,1.8155468056747264,0.09204680674079732,1.9075936124155237,0.6358645374718412,7,192.183151245117,5.386116801713707,5.779743718907154,4.807481743950017,4.189753339660015,3.804675274598416,3.7112726646045333,3.679255213912973
HAT-P-53,189380158,1.058166080031029,4661481031.710495,0.240136670757191,0.05814793045157898,1.0656363597376475,0.05898436856660125,1.1246207283042486,0.3748735761014162,7,671.926086425781,4.3701797139565075,4.687106366189705,3.877526229885071,3.3343044255254437,3.0440239657578245,2.967586816496062,2.9389385228370837
TOI-6330,308120029,2.9905131236178413,8912509.207705734,0.5,3.0,83726.99919254649,8.62563018187743,83735.62482272836,27911.874940909456,7,142.738708496094,7.221470870126124,8.526795716903802,5.933686793422783,4.182602973107399,3.3528374158225227,3.0387454210669285,2.9709884850567105
TIC 237913194,237913194,1.0316065011271704,5652449613.114311,0.08910526939256287,0.14744311095754145,0.11780827046051966,0.0034040729958554365,0.12121234345637509,0.040404114485458366,7,305.285064697266,4.508594647334978,4.848180976954438,3.9989114895167064,3.4357957470083282,3.144758127559479,3.065341454431222,3.0366885970614153
NGTS-11,54002556,0.8516884429599899,3875867012.0374174,0.5,0.011416971007677069,1.201617027824472,0.07873382864140274,1.2803508564658748,0.42678361882195825,7,188.264266967773,5.81130578923749,6.270343144220605,5.170647138134339,4.484083815903137,4.038333091284691,3.92975269954431,3.893765273655812
TOI-125,52368076,0.8857427770301962,4415984233.755562,0.37066924405762647,0.0,4.321538042189649,0.4914418088970849,4.812979851086734,1.6043266170289112,7,110.151466369629,5.513273642634197,5.928292844501731,4.911728193147277,4.280406818798227,3.8760163108097414,3.77799364677821,3.7448947448833563
WASP-18,100100827,1.245144285349012,849630391.0923519,0.17872449323293832,0.0,2.511976571095377,0.5948245991273537,3.106801170222731,1.0356003900742436,7,122.606216430664,3.736559431389109,3.9710156361521585,3.3271790113534827,2.952957641878234,2.7431844487596813,2.6826375410904215,2.6543859451444587
HIP 8152,164767175,0.9667458875317404,5034530072.327849,0.12351033754509667,0.0,1.5596296502281206,0.19064818052930738,1.750277830757428,0.5834259435858093,7,101.387573242188,4.888015775133416,5.232173412150218,4.360181732545831,3.8138919961830506,3.4921520675798967,3.4131649174701746,3.3842371004582823
TOI-2152,395393265,1.5160001588936418,3333152661.0816736,0.08347955602143749,0.8150373311975392,3.4548443496237056,5.217735362280993,8.6725797119047,2.890859903968233,7,317.145416259766,3.7195941507503028,4.167375011488478,3.1465900236974393,2.4791165146004763,2.17819296671654,2.067341911192726,2.0342473792461124
WASP-76,293435336,1.458000000665057,3347667758.083585,0.44820741598529473,0.0,1.7437981920872523,31.25517461250626,32.998972804593514,10.99965760153117,7,188.037414550781,3.0440451180718173,3.306231408079409,2.5992596083933086,2.183044509245567,1.9274349640193067,1.8581905775690308,1.829417087495625
WASP-181,293457754,1.038366034901463,2545939289.737156,-0.055920435072419276,0.01144301697096522,0.5104879447213785,0.022025691774758837,0.5325136364961374,0.17750454549871245,7,425.441864013672,4.633634252939752,4.944585870336026,4.143934164887657,3.6379927200507023,3.3666693886037544,3.297714457843774,3.270599717280675
HAT-P-60,354469661,1.434999996751336,3632053670.149367,0.5,0.0,146.40132650786876,426.39467904506023,572.796005552929,190.93200185097635,7,227.247833251953,2.88605334589347,3.158368645725479,2.4298934403795496,1.9964334031710163,1.7277489407709257,1.656141338765158,1.6272101374618726
HIP 9618,306263608,0.9699982362704026,4760926451.584983,0.16196070142568308,0.008054675544443531,4.079202486570597,0.1786334783600108,4.2578359649306075,1.4192786549768692,7,67.1355438232422,4.900480506475685,5.2466784403037865,4.371369635715828,3.81360966592144,3.4878896295080706,3.4074697204137694,3.378177495266171
TOI-2328,394287035,0.944803792699886,3825755436.748714,0.34969432766040065,0.1604793803844275,2.8233100849631496,0.0716329136379396,2.8949429986010893,0.9649809995336964,7,230.714721679688,5.287496834635502,5.699694542867203,4.700201824068225,4.034726722982763,3.6506503063987314,3.551292580590284,3.518895225862651
TOI-262,70513361,0.913,800000000.0000004,0.26,0.0,78.5044087015127,,,,6,44.1042823791504,5.499385045818009,5.906668074355714,4.906477499893301,4.301913415940707,3.9116122226121237,3.817315504261012,3.7855025727548415
WASP-156,270380593,0.8487023302856611,5239023007.0896845,0.5,0.17735278141369734,1.5404091900978565,0.0512561831709518,1.5916653732688082,0.5305551244229361,7,121.366012573242,5.904852950874775,6.40081757367129,5.236747024296062,4.502237096174028,4.041430434106728,3.9234950200172936,3.8868345811941545
TOI-2421,70524163,1.1305664471438137,7468831758.934844,0.5,0.15808788351470918,0.8972177215419754,0.09622409858684132,0.9934418201288168,0.33114727337627226,7,321.668060302734,3.622177609083973,3.971793801094753,3.101413464165564,2.5341438018091282,2.2158590858340546,2.129718627705016,2.0988236473216824
WASP-116,332911893,1.2337287492426954,2293968396.4101777,0.46760576797883197,0.14568895465124745,2.75945917221145,0.770167495245277,3.529626667456727,1.1765422224855757,7,517.679382324219,3.6781744013043234,3.9659273319110593,3.217969322323856,2.784469790489402,2.52192780119774,2.4448893389680024,2.415267550741273
TOI-2384,382602147,0.6849225221307401,9381899386.193933,0.40465542986089237,1.131220275070914,1.6847275384844635,0.00778080906861702,1.6925083475530807,0.5641694491843602,7,186.809005737305,8.02433396958755,9.024074894285125,6.980792166201343,5.647602085712265,4.962281829465377,4.738236157469837,4.666727777448372
